127.0.0.1 - - [31/Mar/2017:07:03:44 +0545] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:03:47 +0545] "GET /StudentManagementSystem/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:03:47 +0545] "GET /StudentManagementSystem/resources/customcss/demo.css HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:03:47 +0545] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:06 +0545] "POST /StudentManagementSystem/LoginController HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:06 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/StudentController?actions=list HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/resources/css/styles.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=5 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=1 HTTP/1.1" 200 9730
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=15 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=4 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=12 HTTP/1.1" 200 240189
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=16 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=19 HTTP/1.1" 200 135132
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:13 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=21 HTTP/1.1" 200 13454
0:0:0:0:0:0:0:1 - - [31/Mar/2017:07:04:14 +0545] "GET /StudentManagementSystem/ImageDisplayServlet?id=20 HTTP/1.1" 200 135132
